name,category,latitude,longitude,city,borough,street,postal_code,state,region,review_rating,review_count,open_hours,open_hours_monday,open_hours_tuesday,open_hours_wednesday,open_hours_thursday,open_hours_friday,open_hours_saturday,open_hours_sunday,price_range,has_toilet,has_restaurant,wheelchair_accessible,good_for_kids,good_for_kids_birthday,has_parking,has_free_parking,requires_appointment,tickets_in_advance,outdoor_seating,delivery_available,dine_in,great_coffee,great_food,cash_only,google_maps_url,source,popularity_score,restaurant_id
MUSEA Coffee & Eatery,Coffee shop,-7.781814,110.375302,Yogyakarta City,"Terban, Gondokusuman",Jl. Cik Di Tiro,55223,Special Region of Yogyakarta,Yogyakarta,4.8,70,Setiap hari: 8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,Rp 1–25.000,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,https://www.google.com/maps/place/MUSEA+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7a590033d6a7c3:0x56b3c143821e6803!8m2!3d-7.7818142!4d110.3753019!16s%2Fg%2F11yb95d8nj!19sChIJw6fWMwBZei4RA2gegkPBs1Y?authuser=0&hl=en&rclk=1,google_maps,0.7236,0x2e7a590033d6a7c3_0x56b3c143821e6803
Sebaya Kopi,Coffee shop,-7.765868,110.390187,Sleman Regency,"Karang Gayam, Caturtunggal, Depok",,55281,Special Region of Yogyakarta,Yogyakarta,4.7,568,Sen: Closed | Sel: 10.00 am–12.00 am | Rab: 10.00 am–12.00 am | Kam: 10.00 am–12.00 am | Jum: 10.00 am–12.00 am | Sab: 7.00 am–9.00 pm | Min: 7.00 am–9.00 pm,Closed,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,7.00 am–9.00 pm,7.00 am–9.00 pm,Rp 25–50K,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Sebaya+Kopi/data=!4m7!3m6!1s0x2e7a59f49ac77043:0x54a37c2a46245198!8m2!3d-7.7658679!4d110.3901868!16s%2Fg%2F11h61hbbyk!19sChIJQ3DHmvRZei4RmFEkRip8o1Q?authuser=0&hl=en&rclk=1,google_maps,0.7843,0x2e7a59f49ac77043_0x54a37c2a46245198
de Semilir Coffeeshop,Coffee shop,-7.76428,110.378801,Sleman Regency,"Kocoran, Caturtunggal, Depok","Jl. Kaliurang KM 4, Jl. Sumilir No.1 5",55281,Special Region of Yogyakarta,Yogyakarta,4.9,173,Setiap hari: 7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,Rp 1–25.000,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,https://www.google.com/maps/place/de+Semilir+Coffeeshop/data=!4m7!3m6!1s0x2e7a5953c06d83c5:0x983be35fe7220701!8m2!3d-7.7642798!4d110.378801!16s%2Fg%2F11lh55gtlr!19sChIJxYNtwFNZei4RAQci51_jO5g?authuser=0&hl=en&rclk=1,google_maps,0.767,0x2e7a5953c06d83c5_0x983be35fe7220701
Mosu Coffee | Pogung,Coffee shop,-7.761135,110.378346,Sleman Regency,"Pogung Kidul, Sinduadi, Mlati",Jl. Pogung Baru Pogung Kidul Blok B1,55284,Special Region of Yogyakarta,Yogyakarta,4.5,232,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Rp 25–50K,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,https://www.google.com/maps/place/Mosu+Coffee+%7C+Pogung/data=!4m7!3m6!1s0x2e7a5915956f9fb7:0x765807376bb873d7!8m2!3d-7.761135!4d110.3783461!16s%2Fg%2F11yn9xqn22!19sChIJt59vlRVZei4R13O4azcHWHY?authuser=0&hl=en&rclk=1,google_maps,0.7292,0x2e7a5915956f9fb7_0x765807376bb873d7
Estuary Café,Cafe,-7.76341,110.369887,Sleman Regency,"Gemawang, Sinduadi, Mlati",Gg. Code III No.170C,55283,Special Region of Yogyakarta,Yogyakarta,4.6,3602,Setiap hari: 9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Estuary+Caf%C3%A9/data=!4m7!3m6!1s0x2e7a592453113ae7:0xc92fb44d034ddd57!8m2!3d-7.7634102!4d110.3698868!16s%2Fg%2F11g1kn1g2n!19sChIJ5zoRUyRZei4RV91NA020L8k?authuser=0&hl=en&rclk=1,google_maps,0.8365,0x2e7a592453113ae7_0xc92fb44d034ddd57
GoDown Coffee,Coffee shop,-7.770452,110.383284,Sleman Regency,"Karang Gayam, Caturtunggal, Depok",Jl. Lembah UGM,55281,Special Region of Yogyakarta,Yogyakarta,4.9,37,Sen: 11.00 am–11.00 pm | Sel: 11.00 am–11.00 pm | Rab: 11.00 am–11.00 pm | Kam: 11.00 am–11.00 pm | Jum: Closed | Sab: 7.00 am–11.30 pm | Min: 7.00 am–11.30 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,Closed,7.00 am–11.30 pm,7.00 am–11.30 pm,Rp 1–25.000,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,https://www.google.com/maps/place/GoDown+Coffee/data=!4m7!3m6!1s0x2e7a59e817dbc637:0xe6205ad8744e028e!8m2!3d-7.7704524!4d110.3832839!16s%2Fg%2F11vx65c3zh!19sChIJN8bbF-hZei4RjgJOdNhaIOY?authuser=0&hl=en&rclk=1,google_maps,0.7135,0x2e7a59e817dbc637_0xe6205ad8744e028e
TETRA Coffee & Eatery - Yogyakarta // Terra Coffee,Coffee shop,-7.78014,110.377899,Yogyakarta City,"Terban, Gondokusuman",Jl. Sagan I No.5,55223,Special Region of Yogyakarta,Yogyakarta,4.6,1108,Setiap hari: 7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,7.00 am–11.00 pm,Rp 25–50K,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/TETRA+Coffee+%26+Eatery+-+Yogyakarta+%2F%2F+Terra+Coffee/data=!4m7!3m6!1s0x2e7a59ecbf771c57:0x41697292a90c4e64!8m2!3d-7.7801404!4d110.377899!16s%2Fg%2F11n18n0z9j!19sChIJVxx3v-xZei4RZE4MqZJyaUE?authuser=0&hl=en&rclk=1,google_maps,0.7956,0x2e7a59ecbf771c57_0x41697292a90c4e64
SENJA Coffee & Memories,Coffee shop,-7.765463,110.378844,Sleman Regency,"Kocoran, Caturtunggal, Depok","Jl. Kaliurang No.36 km 4, RW.5",55281,Special Region of Yogyakarta,Yogyakarta,4.6,1266,Setiap hari: 8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,8.00 am–11.00 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/SENJA+Coffee+%26+Memories/data=!4m7!3m6!1s0x2e7a5fcba9b05233:0xbc1d34ce089dccc1!8m2!3d-7.7654631!4d110.3788442!16s%2Fg%2F11jt_y08kx!19sChIJM1Kwqctfei4RwcydCM40Hbw?authuser=0&hl=en&rclk=1,google_maps,0.8002,0x2e7a5fcba9b05233_0xbc1d34ce089dccc1
Niwa Coffee & Eatery,Cafe,-7.764453,110.388865,Sleman Regency,"Karang Gayam, Caturtunggal, Depok",Jl. Gambir Karangasem Baru,55281,Special Region of Yogyakarta,Yogyakarta,4.9,274,Setiap hari: 9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,9.00 am–11.00 pm,Rp 25–50K,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Niwa+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7a59505e5b496d:0xcbc198801a966d9b!8m2!3d-7.7644527!4d110.3888649!16s%2Fg%2F11wm_rxlk8!19sChIJbUlbXlBZei4Rm22WGoCYwcs?authuser=0&hl=en&rclk=1,google_maps,0.783,0x2e7a59505e5b496d_0xcbc198801a966d9b
Moikai Coffee CDT,Coffee shop,-7.777799,110.375615,Yogyakarta City,"Terban, Gondokusuman",Jl. Cik Di Tiro No.27,55223,Special Region of Yogyakarta,Yogyakarta,4.9,61,Setiap hari: 7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,Rp 25–50K,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,https://www.google.com/maps/place/Moikai+Coffee+CDT/data=!4m7!3m6!1s0x2e7a59332dfcf31f:0xbbd22f76ee43e0b!8m2!3d-7.7777986!4d110.3756152!16s%2Fg%2F11mk_p6xys!19sChIJH_P8LTNZei4RCz7kbvcivQs?authuser=0&hl=en&rclk=1,google_maps,0.7308,0x2e7a59332dfcf31f_0xbbd22f76ee43e0b
Svarga Flora Coffee & Plants,Coffee shop,-7.761247,110.39404,Sleman Regency,"Soropadan, Condong Catur, Depok",Jl. Affandi No.26A,55222,Special Region of Yogyakarta,Yogyakarta,4.4,1456,Setiap hari: 8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,8.00 am–1.00 am,Rp 25–50K,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Svarga+Flora+Coffee+%26+Plants/data=!4m7!3m6!1s0x2e7a598f1c4530d9:0x93ddd9982e4ae5b5!8m2!3d-7.7612473!4d110.3940399!16s%2Fg%2F11mbpvxqqx!19sChIJ2TBFHI9Zei4RteVKLpjZ3ZM?authuser=0&hl=en&rclk=1,google_maps,0.7811,0x2e7a598f1c4530d9_0x93ddd9982e4ae5b5
Blanco Coffee And Books,Coffee shop,-7.781408,110.36477,Yogyakarta City,"Cokrodiningratan, Jetis",Jl. Kranggan No.30,55233,Special Region of Yogyakarta,Yogyakarta,4.6,4075,Setiap hari: 6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,6.00 am–12.00 am,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Blanco+Coffee+And+Books/data=!4m7!3m6!1s0x2e7a583a3b875c11:0xe57a6751df67f10d!8m2!3d-7.7814081!4d110.3647698!16s%2Fg%2F11bw82l3y1!19sChIJEVyHOzpYei4RDfFn31FneuU?authuser=0&hl=en&rclk=1,google_maps,0.8408,0x2e7a583a3b875c11_0xe57a6751df67f10d
GUYUB FILOSOFI KOPI,Coffee shop,-7.7748,110.372768,Sleman Regency,"Blimbing Sari, Caturtunggal, Depok","Flat E Sekip UGM, Jl. Yacaranda No.E3",55281,Special Region of Yogyakarta,Yogyakarta,4.9,71,Setiap hari: 7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,7.00 am–10.00 pm,Rp 25–50K,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,https://www.google.com/maps/place/GUYUB+FILOSOFI+KOPI/data=!4m7!3m6!1s0x2e7a59000ac90125:0x6100d02d3b038dd!8m2!3d-7.7748005!4d110.372768!16s%2Fg%2F11yr0gywkj!19sChIJJQHJCgBZei4R3Tiw0wINEAY?authuser=0&hl=en&rclk=1,google_maps,0.7361,0x2e7a59000ac90125_0x6100d02d3b038dd
Tekoff Coffee and Tea,Coffee shop,-7.780027,110.378758,Yogyakarta City,"Terban, Gondokusuman","Jalan Sagan Timur GK 5 1053B, Jl. Sagan Tim.",55223,Special Region of Yogyakarta,Yogyakarta,4.6,1357,Setiap hari: 8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,8.00 am–8.00 pm,Rp 25–50K,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Tekoff+Coffee+and+Tea/data=!4m7!3m6!1s0x2e7a59cb5606d64b:0x274c540e0d27b5a0!8m2!3d-7.7800274!4d110.3787585!16s%2Fg%2F11ddxzzyw0!19sChIJS9YGVstZei4RoLUnDQ5UTCc?authuser=0&hl=en&rclk=1,google_maps,0.8026,0x2e7a59cb5606d64b_0x274c540e0d27b5a0
Homi Coffee And Space,Cafe,-7.77833,110.393761,Sleman Regency,"Demangan Baru, Caturtunggal, Depok",Jl. Kenari No.7,55281,Special Region of Yogyakarta,Yogyakarta,4.4,1112,Setiap hari: 10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,Rp 25–50K,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Homi+Coffee+And+Space/data=!4m7!3m6!1s0x2e7a59c6891c192d:0x8b860204f7c6d478!8m2!3d-7.7783299!4d110.3937611!16s%2Fg%2F11ggrql45z!19sChIJLRkcicZZei4ReNTG9wQChos?authuser=0&hl=en&rclk=1,google_maps,0.7717,0x2e7a59c6891c192d_0x8b860204f7c6d478
COSAN - Jakal,Coffee shop,-7.761554,110.379256,Yogyakarta,"Pogung Kidul, Caturtunggal, Mlati","Km 5, Jl. Kaliurang Jl. Srinindito No.8",55281,Special Region of Yogyakarta,Yogyakarta,4.4,1311,Setiap hari: 8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,8.00 am–10.30 pm,Rp 25–50K,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/COSAN+-+Jakal/data=!4m7!3m6!1s0x2e7a594bbc445757:0x4a7e74acfb7345f7!8m2!3d-7.7615539!4d110.379256!16s%2Fg%2F11kzxptkjx!19sChIJV1dEvEtZei4R90Vz-6x0fko?authuser=0&hl=en&rclk=1,google_maps,0.7774,0x2e7a594bbc445757_0x4a7e74acfb7345f7
Sorea Urban Forest,Coffee shop,-7.766245,110.388373,Sleman Regency,"Karang Gayam, Caturtunggal, Depok",Jl. Gambir Karangasem Baru Bulaksumur,55281,Special Region of Yogyakarta,Yogyakarta,4.5,350,Setiap hari: 7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,7.00 am–12.00 am,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Sorea+Urban+Forest/data=!4m7!3m6!1s0x2e7a59b33cf63ed9:0xa02ff3e1c426a66e!8m2!3d-7.7662448!4d110.3883733!16s%2Fg%2F11ss4w_sk9!19sChIJ2T72PLNZei4RbqYmxOHzL6A?authuser=0&hl=en&rclk=1,google_maps,0.7435,0x2e7a59b33cf63ed9_0xa02ff3e1c426a66e
SeeU Coffee,Coffee shop,-7.766317,110.381009,Sleman Regency,"Kocoran, Caturtunggal, Depok",Jl. Agro No.210,55281,Special Region of Yogyakarta,Yogyakarta,4.7,183,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Rp 1–25.000,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,https://www.google.com/maps/place/SeeU+Coffee/data=!4m7!3m6!1s0x2e7a596ef2d4b5f7:0x25791c27ba62921d!8m2!3d-7.7663174!4d110.381009!16s%2Fg%2F11whfhm4ws!19sChIJ97XU8m5Zei4RHZJiuicceSU?authuser=0&hl=en&rclk=1,google_maps,0.745,0x2e7a596ef2d4b5f7_0x25791c27ba62921d
Lantai Bumi,Coffee shop,-7.759689,110.376381,Sleman Regency,"Pogung Kidul, Sinduadi, Mlati",Jl. Pogung Baru,55284,Special Region of Yogyakarta,Yogyakarta,4.4,3428,Setiap hari: 8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,Rp 25–50K,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Lantai+Bumi/data=!4m7!3m6!1s0x2e7a58536329ab6d:0x5f0762f382bb2fe4!8m2!3d-7.7596891!4d110.3763809!16s%2Fg%2F11cs481x33!19sChIJbaspY1NYei4R5C-7gvNiB18?authuser=0&hl=en&rclk=1,google_maps,0.8108,0x2e7a58536329ab6d_0x5f0762f382bb2fe4
